cycle,tbf
1,2.5
2,2.53164557
3,2.564102564
4,2.597402597
5,2.631578947
6,2.666666667
7,2.702702703
8,2.739726027
9,2.777777778
10,2.816901408
11,2.857142857
12,2.898550725
13,2.941176471
14,2.985074627
15,3.03030303
16,3.076923077
17,3.125
18,3.174603175
19,3.225806452
20,3.278688525
21,3.333333333
22,3.389830508
23,3.448275862
24,3.50877193
25,3.571428571
26,3.636363636
27,3.703703704
28,3.773584906
29,3.846153846
30,3.921568627
31,4.0
32,4.081632653
33,4.166666667
34,4.255319149
35,4.347826087
36,4.444444444
37,4.545454545
38,4.651162791
39,4.761904762
40,4.87804878
41,5.0
42,5.128205128
43,5.263157895
44,5.405405405
